ID|EventID|CompanyID|Booth|Date|Time|Hall|RoomNo|PresentCompany|Topic|Speaker|langID|OrderFull|OrderMob|InApplications
21|2426141|242614|11.2A31|2019.5.22|14:00-16:00|11.2|5|DuPont China Holding Co., Ltd. |1. DuPont AHEAD (Accelerating Hybrid-Electric Autonomous Driving) Initiative Introduction <br />2. DuPont Connectivity Solutions <br />3. DuPont 3D Printing Solutions|1. Mr. Sean Liu - AP Automotive Marketing Manager <br />2. Mr. Richard Chang - AP Electrical & Electronics Marketing Manager <br />3. Mr. Eric Feng - AP Industrial & Consumer Application Development Manager|1252|5|5|1,3,999
22|2423611|242361|5.1R41|2019.5.21|14:00-16:00|5.1|Huacheng|Sodick Co., Ltd.|1. Introduction of Latest and Advanced Molding Examples by V-LINE Molding Machine (Automotive Parts, LSR, 5G) and Metal 3D Printer <br />2. Case Studies of Molding Innovation by Three-Dimensional Cooling Water Piping Mold and Future Prospects|1. Mr. Chen Qi - Assistant Department Manager <br />2. Mr. Liu Peng De - Supervisor|1252|0|0|1,3,5
23|2470511|247051||2019.5.22|10:00-12:00||2|LCY Chemical Corp.|1. Polypropylene Solution to Environment-Friendly Tendency and Healthcare Application <br />2. Globalene TPV: Solutions for Weatherseals in Automotive|1. Mr. Kan-Che Hsu - Engineer <br />2. Mr. Colin Lin - Engineer <br />3. Mr. Nison Hsiao - Engineer|1252|2|2|1,2,4,5
24|2458854|245885||2019.5.22|14:00-16:00||10|SABIC|SABIC Innovative and Advanced Flexible Packaging Solutions: Enhancing Your Packaging Integrity and Functionality|1. Mr. Huang Jianfeng - Sr. Engineer <br />2. Mr. Lu Hang - Sr. Engineer|1252|10|10|2
25|2476362|247636||2019.5.23|10:00-12:00||10|Audia Elastomers|New Application with TPS in Automotive, TPV Substitution|1. Mr. Jevons Yu - General Manager <br />2. Mr. Derrick Yan - Marketing Development Manager|1252|10|10|1
26|2470512|247051||2019.5.22|10:00-12:00||1|LCY Chemical Corp.|1. Thermoplastic Elastomer Apply to Film Modified and Elastic Film Application <br />2. Novel Thermoplastic Composite Materials on Foaming Application|Mr. Li Yu-Yan - Engineer|1252|1|1|2,5,999
27|2435751|243575|10.2R41|2019.5.23|10:00-12:00|10.2|9|Sibur|Sibur Rubbers. New IIR, HIIR Production|1. Ms. Rebecca Chen - Sales Manager <br />2. Mr. Peter Niu - Technical Support Manager|1252|9|9|1,4,5
28|2459751|245975||2019.5.21|10:00-12:00||4|ExxonMobil Chemical|Plastic Enhancements with Oppera™ Modifiers|-|1252|4|4|2
29|2459752|245975||2019.5.21|14:00-16:00||4|ExxonMobil Chemical|Innovative and Sustainable Flexible Packaging Solution|Ms. Risa Wang - North Asia Polyethylene Application Development Engineer|1252|4|4|2
30|2459753|245975||2019.5.22|10:00-12:00||4|ExxonMobil Chemical|New Product, New Solution in Flexible Packaging|Mr. Johnson Jiang - PE Senior Staff, Customer Development|1252|4|4|2
31|2459754|245975||2019.5.22|14:00-16:00||4|ExxonMobil Chemical|ExxonMobil High Performance PE Providing One-Stop Solution for Petrochemical Palletized Packaging|1. Ms. Sindy Wang - Customer Development Specialist <br />2. Mr. Qiao Qiao - Customer Development Engineer|1252|4|4|2
32|2459755|245975||2019.5.21|14:00-16:00||5|ExxonMobil Chemical|Discovering the Power of Elastomers Together|Ms. Nicole Xing - Application Development Engineer|1252|5|5|1,2,999
33|2466071|246607|10.3S01|2019.5.23|10:00-12:00|10.3|5|Clariant|1. Clariant Exolit OP Flame Retardants Help Ensure Fire Safety in E-mobility <br />2. Latest Developments in Polymers Stabilization for Transportation and for E-Mobility <br />3. Higher Efficiency in Converting Polymers into Automotive Parts by the Use of Clariant’s Waxes|1. Ms. Lexi Dai - Technical Marketing Engineer BL Flame Retardants <br />2. Mr. Stevie Huang - Marketing Manager of Enginnering Polymers BL Performance Addtives Greater China <br />3. Ms. Megan Mao - Regional Techinical Segment Manager Plastics APAC BL Advance Surface Solutions|1252|5|5|1,3
34|2421791|242179|10.2J41|2019.5.22|10:00-12:00|10.2|12|Dow Plastics Additives|1. Flexible Acrylic Resin <br />2. New Processing Aid in PVC <br />3. Other New Plastics Additives|1. Mr. Gergely Nagy - Global Business Director <br />2. Mr. Drake Ian - R&D, Technical Service Director <br />3. Mr. Felix Zhang - APAC Technical Service Manager|1252|12|12|1,2,3,4,5,6
35|2470261|247026|9.2L17|2019.5.23|10:00-12:00|9.2|Huacheng|U.S. Commercial Service Guangzhou, U.S. Consulate General in Guangzhou|USA Day Plastics Processing Innovation Technology Seminar|-|1252|0|0|1,2,3,4,5,6
36|2421813|242181|11.2A41|2019.5.23|14:00-16:00|11.2|10|BASF|1. Ultraform® Products and Industrial Application <br />2. BASF PU Solution for Industrial Industry|1. Mr. Noah CHENG - Application Development Manager <br />2. Mr. Shao Li WANG - Technical Sales|1252|10|10|1,2,3,4,5,6
37|2458851|245885||2019.5.21|10:00-12:00||10|SABIC|SABIC Engineering Thermoplastic Solutions for the Fast-Developing Electronics and Electrical Applications|1. Mr. Steven Song - Lead Scientist <br />2. Mr. Jerry Yang - Sr. Scientist|1252|10|10|3
38|2458852|245885||2019.5.21|14:00-16:00||10|SABIC|SABIC Advanced PP Compound Technologies for Consumer Products|Ms. Helen Ye - Sr. Scientist |1252|10|10|3
39|2475661|247566||2019.5.21|10:00-12:00||2|Sinopec|Press Conference on New Products and New Applications of Sinopec Synthetic Resins|-|1252|2|2|1,2,3,4,5,6,999
40|2458853|245885||2019.5.22|10:00-12:00||10|SABIC|SABIC Comprehensive Plastic Solutions to Address Evolving Needs of the Home Appliance Industry|1. Ms. Helen Ye - Sr. Scientist <br />2. Mr. Jerry Yang - Sr. Scientist|1252|10|10|3
41|2476361|247636||2019.5.21|10:00-12:00||9|Audia Elastomers|Optimized Solutions of TPE Bonding / Adhesion|1. Mr. Jevons Yu - General Manager <br />2. Mr. Shaokun Wen - Product Manager|1252|9|9|1,3,4,999
42|2425611|242561|2.1R31|2019.5.22|14:00-16:00|2.1|花城|CPM 擠出集團|雙螺杆擠出機高性能螺紋原料在高分子量聚乙烯中的優勢, 及行星擠出機在新能源汽車輪胎橡膠領域的應用|Joerg Mayer-Lutz 先生 - 銷售經理|950|0|0|1,5,999
43|2429941|242994|11.2L31|2019.5.22|10:00-12:00|11.2|9|可樂麗貿易 (上海) 有限公司|可樂麗對於 TPE 行業的解決方案: <br />1. 苯乙烯類熱塑性彈性體 - SEPTON™ 的高分子量牌號 <br />2. 丙烯酸嵌段共聚物 - KURARITY™ 在表面保護膜的應用|-|950|9|9|1,2,3,4,5,6
44|2428821|242882|10.2G11|2019.5.22|14:00-16:00|10.2|11|1. 沙特基礎工業公司  <br />2. 中國石油化工股份有限公司茂名分公司|1. 沙特基礎建設公司於薄壁包裝的專用解決方案 <br />2. 透明聚丙烯產品開發及應用|1. 張德輝 先生 - 薄壁包裝市場開發及技術支援工程師 <br />2. 譚捷 先生 - 茂名石化研究院高級工程師|950|11|11|2
45|2433871|243387|10.2A61|2019.5.22|10:00-12:00|10.2|5|意慕利油脂化學|使用創新綠色添加劑, 改善我們的環境|1. Harald Klein 博士 - 全球部門主管, 塑料添加劑部 <br />2. Sascha Simon 博士 - 全球新業務開發主管, 塑料添加劑部 <br />3. Christian Mueller 博士 - 全球技術市場經理, 塑料添加劑部|950|5|5|1,2,4
46|2422141|242214|13.2E41|2019.5.22|14:00-16:00|13.2|12|頂塑企業|1. Topolymer TPE 在濕式止滑領域的創新應用 <br />2. Topolymer 生物基熱塑性彈性體的創新解決方案|1. 鄧正閏 先生 - R&D 經理 <br />2. 鄔慧榮 先生 - R&D 經理|950|12|12|1,2,3,5,6
47|2421811|242181|11.2A41|2019.5.21|14:00-16:00|11.2|12|巴斯夫顏料 (上海) 有限公司|1. 突破顏色空間 - 由潘通 2019 年度色談開…… <br />2. 新產品上線|1. 江冰 女士 - 亞太區資深商業管理經理 <br />2. 任青江 先生 - 亞太區技術管理經理|950|12|12|1,2,3,6
48|2440221|244022|11.2J15|2019.5.21|14:00-16:00|11.2|11|艾迪科 (中國) 投資有限公司|1. 成核劑及透明劑在 PP 熱成型上的活用 <br />2. 關於高端無鹵阻燃體系聚烯烴的無限可能 <br />3. 橡膠用增塑劑 - ADK CIZER RS 系列產品介紹|1. 清水 先生 - 技術工程師 <br />2. 橫山 先生 - 技術工程師 <br />3. 仙石 先生 - 技術工程師|950|11|11|1,2,3,4,5
49|2428031|242803|9.2L01|2019.5.22|14:00-16:00|9.2|白雲|法雷爾波米尼|連續混煉機在加工炭黑母料、包括導電炭黑方面的優勢|何 先生 - 銷售工程師|950|0|0|1,2,3,4,5,6
50|2463251|246325|9.3D39|2019.5.22|10:00-12:00|9.3|11|威海晨源分子新材料有限公司|新型樹枝狀大分子助劑在塑料中的應用|李武松 博士 - 總經理|950|11|11|1,2,3,999
51|2433111|243311|2.2E31|2019.5.22|10:00-12:00|2.2|白雲|嘉善司倍克泵業有限公司|新形勢下傳統行業的工業 4.0 討論|1. 車雲傑 先生 - 業務經 <br />2. 陳勇 先生 - 業務經理 (代理)|950|0|0|5,999
52|2423441|242344|10.2G21|2019.5.22|10:00-12:00|10.2|6|博禄私人有限公司|1. 創新解決方案構建更加靈活的塑料 <br />2. ANTEO™ 源于創新, 歸於完美|1. 歐賢齊 先生 - 資深硬包方案開發工程師 <br />2. 禹慶凱 先生 - 資深軟包方案開發工程師|950|6|6|2,999
53|2432011|243201|12.2B41|2019.5.22|14:00-16:00|12.2|1|曉星化學|1. 曉星化學 PP 越南工廠生產的新產品 <br />2. PP-R / PP-B 符合新的 GB/T 標準|-|950|1|1|1,2,3,4,5
