ID|EventID|CompanyID|Booth|Date|Time|Hall|RoomNo|PresentCompany|Topic|Speaker|langID|OrderFull|OrderMob|InApplications
4425|2581091|258109|8.2C61|2020.8.3|14:00-16:00|8.2|802  |畢克助劑 (上海) 有限公司|1. 熱塑性塑料的再生和再穩定的新解決方案 <br />2. BYK-MAX CT4255 用於提高尼龍的阻隔性能|1. Jörg Garlinsky 先生 - 熱塑性塑料全球應用經理 <br />2. Dan Berg 先生 - 熱塑性塑料全球應用經理|950|0|0|3,4
4426|2581911|258191|8.2D35|2020.8.4|14:00-16:00|8.2|101|以化集團 - 工業産品部|用於不斷發展和充滿技術挑戰環境中的可持續和高性能阻燃劑|1. Daisy Li 博士 - 亞太技術經理 <br />2. Marc Leifer 先生 - 全球技術經理|950|0|0|1,3,4,5,6,999
4427|2582771|258277|7.2D175|2020.8.4|10:00-12:00|7.2|702  |深圳市同益實業股份有限公司|免噴塗及輕量化材料前沿技術和工藝||950|0|0|1,3
4428|2582772|258277|7.2D175|2020.8.4|14:00-16:00|7.2|702  |深圳市同益實業股份有限公司|免噴塗及輕量化材料前沿技術和工藝||950|0|0|1,3
4429|2593761|259376|6.2B71|2020.8.4|14:00-16:00|6.2|703  |科騰聚合物貿易 (上海) 有限公司|1. 科騰關於可持續發展領域的解決方案 <br />2. 科騰關於 IMSS 的解決方案|1. 王亭 先生 - 市場開發經理 <br />2. 李娜 女士 - 市場開發經理 <br />3. 馬力強 先生 - 高級研究員 <br />4. 李志莉 女士 - 技術經理|950|0|0|1,2,3,4,5
4430|2594391|259439|8.2D145|2020.8.3|14:00-16:00|8.2|101|星貝達 (上海) 化工材料有限公司|一種新型的可適用於所有半結晶樹脂的成核劑|姚星 先生 - 總經理|950|0|0|1,2,3,4
4431|2574351|257435|6.2E61|2020.8.4|10:00-12:00|6.2|602  |博禄私人有限公司|全新一代创新增强型 LLDPE 与包装循环经济方案|1. 段新荣 先生 - 应用开发工程师 <br />2. 林昭瑾 女士 - 应用市场经理|936|0|0|2
4432|2574352|257435|6.2E61|2020.8.4|14:00-16:00|6.2|602  |博禄私人有限公司|应用于公用设施、污水和管网系统的先进聚烯烃材料|1. 李京徽 先生 - 应用市场经理 <br />2. 余新文 先生 - 技术经理|936|0|0|4,999
4433|2574371|257437|7.2D61|2020.8.4|10:00-12:00|7.2|704  |巴斯夫|1. 高效抗氧剂 Irgastab® IS 6300L 赋予 NBR、NB 乳胶和 NR 乳胶有效稳定性 <br />2. 用于高端农用塑料的新型 Tinuvin® NOR® 光稳定/热稳定剂|1. 谢婷亭 女士 - 技术经理 <br />2. Maneule Vitali 博士 - 农用塑料专家, 巴斯夫塑料添加剂|936|0|0|999
4434|2574372|257437|7.2D61|2020.8.4|14:00-16:00|7.2|704  |巴斯夫|1. 高效抗氧剂 Irgastab® IS 6300L 赋予 NBR、NB 乳胶和 NR 乳胶有效稳定性 <br />2. 用于高端农用塑料的新型 Tinuvin® NOR® 光稳定/热稳定剂|1. 谢婷亭 女士 - 技术经理 <br />2. Maneule Vitali 博士 - 农用塑料专家, 巴斯夫塑料添加剂|936|0|0|999
4435|2579341|257934|8.2D31|2020.8.4|10:00-12:00|8.2|802  |邱博工程材料|1. Kemgard® 特种阻燃剂及抑烟剂 <br />2. Safire™ 400 新型磷氮阻燃剂|1. David Reece 先生- 技术经理 <br />2. Yann Bourgeois 女士 - 产品经理|936|0|0|1,3,999
4436|2580161|258016|8.2C37|2020.8.4|14:00-16:00|8.2|802  |意慕利油脂化学香港有限公司|1. 概述及公司简介 <br />2. 天然润滑剂 <br />3. 生物塑料添加剂||936|0|0|1,2,4,5
4437|2580961|258096|7.1C67|2020.8.5|10:00-12:00|7.1|702  |CPM 挤出集团|双螺杆挤出机分散混合技术的创新|亚当 先生 - 工艺技术总监|936|0|0|1,999
4438|2581091|258109|8.2C61|2020.8.3|14:00-16:00|8.2|802  |毕克助剂 (上海) 有限公司|1. 热塑性塑料的再生和再稳定的新解决方案 <br />2. BYK-MAX CT4255 用于提高尼龙的阻隔性能|1. Jörg Garlinsky 先生 - 热塑性塑料全球应用经理 <br />2. Dan Berg 先生 - 热塑性塑料全球应用经理|936|0|0|3,4
4439|2581911|258191|8.2D35|2020.8.4|14:00-16:00|8.2|101|以化集团 - 工业产品部|用于不断发展和充满技术挑战环境中的可持续和高性能阻燃剂|1. Daisy Li 博士 - 亚太技术经理 <br />2. Marc Leifer 先生 - 全球技术经理|936|0|0|1,3,4,5,6,999
4440|2582771|258277|7.2D175|2020.8.4|10:00-12:00|7.2|702  |深圳市同益实业股份有限公司|免喷涂及轻量化材料前沿技术和工艺||936|0|0|1,3
4441|2582772|258277|7.2D175|2020.8.4|14:00-16:00|7.2|702  |深圳市同益实业股份有限公司|免喷涂及轻量化材料前沿技术和工艺||936|0|0|1,3
4442|2593761|259376|6.2B71|2020.8.4|14:00-16:00|6.2|703  |科腾聚合物贸易 (上海) 有限公司|1. 科腾关于可持续发展领域的解决方案 <br />2. 科腾关于 IMSS 的解决方案|1. 王亭 先生 - 市场开发经理 <br />2. 李娜 女士 - 市场开发经理 <br />3. 马力强 先生 - 高级研究员 <br />4. 李志莉 女士 - 技术经理|936|0|0|1,2,3,4,5
4443|2594391|259439|8.2D145|2020.8.3|14:00-16:00|8.2|101|星贝达 (上海) 化工材料有限公司|一种新型的可适用于所有半结晶树脂的成核剂|姚星 先生 - 总经理|936|0|0|1,2,3,4
