RID|Spot
19204|10
19204|2
19204|3
19204|9
19205|1
19205|3
19206|1
19206|5
19206|6
19207|1
19207|10
19207|2
19207|3
19207|4
19207|6
19207|7
19207|8
19208|2
19208|3
19208|4
19208|7
19208|8
19208|9
19209|1
19209|2
19209|4
19209|5
19209|6
19209|7
19210|1
19210|10
19210|2
19210|4
19210|5
19210|7
19210|9
19211|10
19211|2
19211|3
19211|5
19212|1
19212|5
19212|6
19212|7
19213|10
19213|2
19213|4
19213|5
19213|9
19214|1
19215|1
19216|1
19216|5
19216|6
19216|7
19217|1
19218|1
19219|1
19219|10
19219|11
19219|2
19219|3
19219|4
19219|5
19219|6
19219|7
19219|8
19219|9
19220|1
19220|2
19220|7
19221|1
19221|10
19221|4
19222|1
19223|1
19223|2
19223|3
19223|4
19223|8
19224|1
19224|10
19224|2
19224|4
19224|5
19224|6
19224|8
19224|9
19225|1
19226|3
19227|1
19227|3
19227|5
19227|6
19227|7
19228|1
19228|10
19228|5
19228|6
19229|1
19229|5
19229|6
19229|7
19230|1
19230|2
19230|3
19230|9
19231|1
19232|1
19233|2
19233|7
19234|1
19234|4
19234|5
19234|6
19234|7
19234|8
19235|1
19235|10
19235|11
19235|2
19235|3
19235|4
19235|5
19235|6
19235|7
19235|8
19235|9
19236|5
19237|5
19238|5
19239|5
19240|1
19240|2
19240|5
19240|6
19241|1
19241|10
19241|2
19241|3
19241|4
19241|5
19241|6
19241|7
19241|8
19242|5
19243|1
19243|10
19243|6
19243|7
19244|1
19244|10
19244|11
19244|2
19244|4
19244|5
19244|6
19244|7
19244|8
19244|9
19245|1
19245|2
19245|4
19245|5
19245|6
19245|7
19246|1
19246|6
19247|1
19247|10
19247|2
19247|3
19247|4
19247|5
19247|6
19247|7
19247|8
19247|9
19248|1
19248|2
19248|4
19248|5
19248|6
19248|9
19249|1
19249|5
19249|6
19249|7
19250|1
19250|2
19251|1
19251|2
19252|1
19253|4
19254|4
19254|5
19254|9
19255|2
19255|4
19255|5
19256|1
19256|2
19256|4
19256|6
19256|8
19256|9
19257|1
19257|2
19257|3
19258|1
19258|5
19258|7
19259|2
19260|3
19261|1
19261|3
19262|1
19262|2
19262|6
19263|7
19264|1
19264|6
19265|3
19265|7
19266|3
19266|9
19267|7
19268|1
19268|5
19268|6
19269|3
19270|1
19270|2
19270|3
19270|5
19270|8
19270|9
19271|1
19271|11
19271|2
19271|3
19271|4
19271|5
19271|8
19271|9
19272|1
19272|2
19273|1
19273|2
19274|2
19274|4
19274|9
19275|2
19275|3
19276|10
19276|2
19276|4
19276|7
19276|8
19276|9
19277|1
19277|6
19278|1
19278|2
19278|4
19278|7
19278|8
19279|4
19280|2
19281|4
19282|2
19282|3
19282|4
19283|11
19283|2
19283|3
19284|1
19284|2
19284|3
19284|9
19285|1
19285|2
19286|1
19286|10
19286|2
19286|3
19286|4
19286|7
19286|8
19286|9
19287|1
19287|10
19287|11
19287|3
19287|4
19287|5
19287|6
19287|7
19287|8
19288|1
19288|2
19289|2
19289|5
19289|7
19289|9
19290|1
19290|10
19290|2
19290|4
19290|9
19291|10
19291|2
19291|4
19291|9
19292|10
19292|4
19292|9
19293|1
19293|11
19293|2
19293|5
19293|9
19294|1
19294|3
19294|6
19294|7
19295|1
19295|10
19295|11
19295|2
19295|3
19295|4
19295|5
19295|6
19295|7
19295|8
19295|9
19296|1
19296|10
19296|2
19296|3
19296|6
19296|7
19297|1
19297|2
19297|3
19297|4
19297|7
19298|2
19299|1
19299|10
19299|11
19299|2
19299|3
19299|4
19299|5
19299|9
19300|1
19300|7
19301|1
19301|2
